danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,track_name,artist
0.874,0.692,-5.28,0.0431,7.24e-05,0.937,116.017,0.0412,Treasure,Bruno Mars
0.835,0.669,-5.582,0.0643,6.92e-05,0.542,122.668,0.0336,Don't Stop The Music,Rihanna
0.721,0.802,-5.797,0.0583,0.0,0.724,124.022,0.0921,Time of Our Lives,Pitbull
0.712,0.862,-4.612,0.0378,0.0,0.809,95.051,0.0525,This Love,Maroon 5
0.663,0.861,-3.398,0.109,0.0,0.654,119.963,0.0338,DJ Got Us Fallin' In Love (feat. Pitbull),Usher
0.706,0.786,-3.417,0.091,0.0,0.751,150.028,0.26,Bang Bang,Jessie J
0.624,0.876,-3.374,0.1,0.0,0.781,99.943,0.0735,Galway Girl,Ed Sheeran
0.673,0.902,-2.392,0.0346,0.000262,0.538,100.012,0.0591,Best Day Of My Life,American Authors
0.717,0.455,-8.303,0.0276,0.0,0.389,127.812,0.0846,Budapest,George Ezra
0.779,0.64,-8.415,0.159,0.00077,0.498,99.019,0.000155,Pon de Replay,Rihanna
0.731,0.867,-5.881,0.032,0.0,0.776,104.019,0.0395,All Star,Smash Mouth
0.762,0.661,-6.075,0.0687,0.0,0.769,130.009,0.15,Beautiful Girls,Sean Kingston
0.526,0.749,-6.964,0.0283,1.76e-06,0.421,99.982,0.023,Kiss Me,Sixpence None The Richer
0.722,0.851,-3.873,0.0639,0.0,0.452,126.885,0.0319,Glad You Came,The Wanted
0.765,0.837,-3.113,0.032,1.06e-05,0.721,122.028,0.00107,Drive By,Train
0.727,0.68,-4.498,0.0286,0.0,0.728,132.012,0.0101,Down,Jay Sean
0.707,0.813,-4.515,0.0571,0.0,0.722,124.921,0.0863,Disturbia,Rihanna
0.747,0.937,-5.746,0.0453,0.0,0.739,103.976,0.0208,Whistle,Flo Rida
0.657,0.639,-7.527,0.0412,0.0,0.674,124.882,0.581,Man! I Feel Like A Woman!,Shania Twain
0.545,0.78,-4.867,0.0436,4.64e-05,0.458,125.014,0.0309,Hey Brother,Avicii
0.673,0.758,-3.632,0.158,0.0,0.542,135.956,0.039,Feel This Moment (feat. Christina Aguilera),Pitbull
0.56,0.872,-4.269,0.14,6.98e-06,0.682,126.05,0.0239,Good Time,Owl City
